Frequency,Measure,Balance sheet position,Type of instruments,Currency denomination,Currency type of reporting country,Parent country,Type of reporting institutions,Reporting country,Counterparty sector,Counterparty country,Position type,Period,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,$TO1-USD-EUR-JPY-GBP-CHF-UN9,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:L:A:$TO1-USD-EUR-JPY-GBP-CHF-UN9:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43991.126,51814.67,54692.673,52300.666,87354.336,86224.623,97451.845,93132.938,138989.019,136252.099,145600.87,145941.763,135701.391,157892.261,155087.674,175698.392,196867.78,202527.19,192829.779,203719.574,192918.171,222818.394,247802.804,248410.966,247803.177,267868.391,282467.606,300123.694
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,D:Domestic currency (ie currency of bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),R:Local,Q:S:L:A:TO1:D:5J:A:5A:I:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863408.456,911090.822,1235756.801,1218171.76,1293801.789,1455215.226,3139486.129,2756416.628,2695619.055,2435498.613,2439008.793,2149551.988,2225138.871,2205139.626,2335394.814,2353839.246,2277029.555,2281279.441,2240735.115,2372857.801,2627300.235,2721472.786,2918493.379,2909993.04,2767156.958,2697263.569,2628052.897,2712373.902,2812210.908,2759512.505,2878558.664,2973165.348,3233238.187,3196063.003
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),U:Unallocated,Q:S:L:A:TO1:A:5J:A:5A:P:5J:U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235.116,4517.326,10067.497,9600.811,17141.794,23451.182,30219.118,25995.099,37414.184,38231.442,35515.937,34970.058,31005.228,32722.667,33704.951,36459.671,43120.883,38437.162,28956.188,29374.184,36895.007,29961.133,36459.535,37674.259,42889.495,37772.438,31307.783,23469.035
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5R:Developed countries,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:P:5R:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776424.876,1084161.34,1116133.326,1011380.602,1375558.467,1288101.167,1364549.984,1350802.16,1435815.301,1507615.596,1514594.563,1523424.331,1510368.979,1537148.698,1590779.384,1628579.096,1691170.222,1724495.042,1749693.299,1747668.292,1750724.464,1729204.39,1781565.129,1771137.855,1781225.736,1884864.822,1966785.958,2016361.676
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,4W:Developing Africa and Middle East,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:U:4W:N,8056,7631,7375,6616,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,980,732,760,738,1060,1165,999,1243,1530,1596,1434,1408,1841,1859,1870,1738,2303,2307,2416,2626,2165,2335,2567,2403,2656,2610,2801,1662,2304,3038,3528,2314,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,23,24,24,22,22,7,11,11,9,-,46,13,12,10,4,11,14,10,7,0,-1,-,-,2,3,1,4,8,0,0,1,840,836,853,849,809,755,753,762,828,865,863,890,984,994,1044,1086,934,943,962,1030,1117,1186,1228,1272,1126,1222,1130,1101,1207,1228,1357,1322,1580,550.987,276.799,1290.577,988.426,1077.295,1486.772,2632.983,2559.629,2834.997,1969.098,2235.075,1842.616,2899.446,4935.571,2111.227,1590.872,1549.727,1789.996,5558.19,6725.067,6908.934,5875.099,6211.474,9688.498,8503.575,8849.467,7877.747,9020.731,6400.738,7112.136,6869.319,5825.129,5468.604,5757.324
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5J:All countries (total),N:Cross-border,Q:S:L:A:GBP:A:5J:A:5A:N:5J:N,6587,6702,6810,7699,8138,9731,11070,12064,13416,14643,17206,17985,18720,17567,15637,15583,16578,17213,17911,18630,17760,17880,18565,18971,19903,20514,19355,18704,19116,21035,23692,26828,31924,31762,33053,32514,35790,41905,43089,44935,53488,54757,51220,51807,59658,58979,57370,64121,78138,84074,93895,100679,105472,96101,90069,99246,108232,101462,110918,102374,88867,88689,86597,85342,81923,84164,84399,88162,82781,84743,84541,85403,87299,93101,93644,96470,105594,105089,116586,107197,125129,136296,139328,147342,142669,147708,147481,157081,155566,177302,156059,165038,158245,163258,160386,164950,227732,239720,254637,266172,288052,285229,293144,317432,347139,379157,378032,390909,425787,439557,429559,437892,434426,451624,514210,516697,560348,587088,632041,683796,698962,693141,715075,667043,531169,491626.5,568899,512602,509618,466878,474039,487918,465919,474174.959,480452,488791,447878,505847.617,504163.504,528674.421,536665.853,522976.317,501283.037,517761.946,533450.8,501530.298,526687.165,511146.082,479351.141,469634.402,499134.107,467040.461,436446.242,434125.105,421581.412,412067.629,395326.512,422819.861,445525.538,467795.324,461547.676,505233.077,502645.113,511856.853,477513.242,515277.621,490857.827,484825.133,490768.922,507132.822,491883.984,517409.693
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",4W:Developing Africa and Middle East,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:I:4W:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23164.591,27186.85,26447.559,31890.108,37253.511,23847.666,26454.693,52012.918,54698.325,59057.75,63074.528,71938.919,66390.125,65134.529,59630.596,64974.421,67325.815,63535.577,71457.356,72053.384,73116.136,78639.336,87639.067,90092.452,90673.351,92253.205,100293.607,95762.526,96213.576,88522.294,101388.676,96690.766,102637.078,115998.233
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,EUR:Euro,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:L:A:EUR:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846105.691,1161984.423,1157091.9,1111608.091,1136732.783,1113810.641,1083442.572,1073412.188,964578.328,1084967.838,1107535.089,1098321.502,990623.764,1104401.412,1172202.687,1186881.247,1213221.985,1463054.548,1373483.69,1387906.858,1357880.665,1386215.917,1452420.542,1371470.876,1332313.035,1403181.649,1356684.662,1479780.496
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:L:A:CHF:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,500,486,454,529,497,507,364,436,688,464,547,1638,1123,1423,1233,1509,2790,2091,2184,1861,2548,2297,2380,2257,3950,4944,7115,9831,11626,12315,11360,11413,13786,11970,13692,18252,15966,11757,12051,11470,12215,12961,15938,16875,19343,23960,22690,21778,22566,22932,22762,15768,19508,19688,22022,25887,30202,24763,29357,31186,33410,31592,31673,8408,29332,28228,27266,26022,28240,26175,24684,29290,29485,27464,27194,26773,23997,25104,24775,26891,24662,25054,22827,25608,22382,24156,27391,18606,19491,29627,27132,24430,22853,22669,20046,26307,26554,31586,32015,25466,21958,23252,23626,17252,21301,14823,12664,15995,23336,23901,30252,26651,43859,30499,96049.621,98575.417,92881.709,88493.215,87197.019,136036.381,130536.277,137202.082,129559.849,133381.644,127732.364,123549.565,108995.448,103175.561,106289.87,89051.131,94743.907,80178.274,82679.617,73157.684,84283.323,80167.235,83045.041,85165.055,82605.433,75905.671,72577.256,72877.604,74623.976,81451.499,112730.667,125601.39,82787.719,79127.296
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,D:Domestic currency (ie currency of bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),R:Local,Q:S:L:A:TO1:D:5J:A:5A:U:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6338606.06,6447151.678,6426660.564,6368450.155,6185045.51,6264777.045,24195733.69,25105840.43,25451622.63,23977104.3,21921502.99,22069695.98,21983649.01,22314915.17,22329212.27,24215933.76,25875001.44,26392955.54,23599766.38,25424569.38,25641501.42,25760912.46,25574027.97,27455191.77,26134336.79,25708826.96,26459806.5,26807808.08,27364488.37,27445038.61,27314609.87,27776025.82,28865571.15,30042403.45
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486220.556,1919093.302,1976721.998,1855690.235,2559911.66,2463031.53,2557844.268,2539662.648,3144493.245,3234746.346,3228854.587,3313713.659,3277673.746,3389003.374,3517967.298,3578967.468,3725470.477,3836007.232,3804222.76,3787178.844,3747487.537,3751231.469,3844754.909,3795897.773,3856751.491,3988991.835,4065280.282,4125393.055
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:C:A:USD:A:5J:A:5A:A:5J:N,379688,392687,410751,439363,497971,480552,511217,564665,613393,629914,665473,695151,763876,788664,807697,848767,933742,961454,981027,1037449,1052311,1067557,1064349,1087107,1616679,1618232,1646054,1616541,1650052,1674866,1669045,1696414,1765980,1769320,1812595,1946945,2091572,2068536,2213511,2297004,2386140,2414661,2435429,2506589,2614035,2752594,2713709,2814426,3042134,3005201,3017136,3128002,3325827,3223433,3158985,3168232,3114245,3084372,3074525,3091031,3175018,3067147,3070383,3085822,3142930,3194707,3274175,3301915,3367755,3423075,3526565,3532132,3673618,3685324,3684971,3771636,3896195,4070088,4190270,4278244,4530147,4273606,4334568,4438479,4507682,4336604,4355652,4388562,4503254,4605139,4706479,4799448,5080066,5295639,5270068,5279491,5693156,5708080,5863046,5778249,6010741,6276678,6568746,6492363,6775669,7424460,7476630,7483495,7938035,8230436,8762193,9028536,9242970,9908963,10294208,10711606,11211749,11963583,12612949,13056625,13419856,14195498,13749214,13766820,12949587,12692097,12372625,12592956.5,12540767,12837217,12768908,13393187,13394225,13876243.17,13699042,14088469,13756915,13579261.97,12558138.07,12626371.81,12577316.13,12627445.79,12700812.36,12449675.64,12689833.64,13014315.35,13093353.8,13311790.61,13028130.21,13134838.79,12847019.36,12870066.66,13388093.15,13552394.49,13889731.82,13924333.1,13793623.75,13959758.18,13947938.65,14177476.67,14288046.24,14566180.55,14183438.6,14071156.05,14379747.6,14697732.72,14671205.63,14929412.47,15059507.6,16454522.7,15499249.37,15385295.41
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,1C:International organisations,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:U:1C:N,67,71,65,72,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,6,5,5,6,6,6,6,0,...,...,...,...,...,...,...,...,...,...,...,...,0,-,4,-,3,3,29,25,25,23,25,27,25,23,25,22,32,30,33,18,25,82,78,16,9,29,69,33,59,64,94,90,1084,19248.925,20645.267,19022.561,23371.654,24488.866,26486.077,6341.267,8285.422,11137.19,8594.449,8013.764,6892.93,7999.513,10467.754,6387.042,8416.23,6856.341,7266.093,6276.694,6452.031,5819.221,5137.334,5228.85,5619.88,5419.473,5791.437,5600.094,5512.023,5940.046,5897.587,5778.394,7415.44,6560.164,14275.363
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5J:All countries (total),N:Cross-border,Q:S:L:A:CHF:A:5J:A:5A:N:5J:N,2008,1896,2116,2443,2057,1870,2166,2509,2655,2464,2939,3013,2783,2983,3049,3284,3652,3058,2850,2875,2987,3574,3601,3647,8289,9451,9080,8764,8684,9845,9722,11805,15263,14087,14439,17491,19419,21354,21857,22239,28487,26666,22683,21041,23286,21617,22282,23573,36552,43976,48328,57878,57731,51365,49078,52037,47884,41751,45312,51485,42767,41191,40108,41579,39819,44217,46616,47960,47230,53394,52021,52698,52492,51214,50725,49574,50429,48953,48606,48186,47357,54763,56800,60742,57133,70615,60956,60301,60175,60195,51211,48003,48186,49456,48434,56856,55485,61157,64553,60604,58998,64232,61241,63365,64602,61899,60265,62966,70777,68093,70327,71831,73165,73285,82856,79154,80941,90651,83612,91383,94129,106834,102225,93846,99222,89746,89353,88206,90913,91897,92320,96009,98842,103630.114,113653,116736,109963,111588.339,111112.411,113751.659,112510.445,109732.903,112436.748,134270.612,134279.542,138679.204,130449.705,123831.8,113189.515,105796.521,108239.882,104004.364,99138.189,102206.023,103615.178,105955.178,99393.88,101185.09,108704.76,105383.345,107709.853,117216.379,111162.904,107820.977,107860.644,107332.074,108274.05,112701.632,115090.443,115743.233,116214.111,123380.117
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,JPY:Yen,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:L:A:JPY:A:5J:A:5A:A:5J:N,4700,8429,7565,9799,10807,10165,8288,8475,7784,8645,15239,16369,16615,16837,16929,19111,20937,21394,20878,19629,22112,32426,32520,33553,38088,43713,47176,46504,51854,55826,64562,77256,113450,137760,158011,199446,220211,290658,310484,395510,506969,507176,503260,605104,602267,586087,552519,634364,662283,597099,625088,742542,752724,714577,683395,698534,670417,602955,558753,618884,536455,579301,531314,657450,600850,646041,631283,712966,753253,885212,890855,867451,856662,802986,763700,739477,756006,740662,776305,782508,781484,731263,681971,713453,846068,694210,630529,719709,791026,774660,763243,725234,758614,688321,660300,611564,569683,544639,612256,597687,613449,561979,576057,588110,601428,636674,639291,635014,690146,706311,747757,718763,699797,695953,715878,677776,682094,755591,792088,926329,1053418,1306092,1148180,1150538,1197288,945178.5,1029453,1027413.5,889631,862748,969028,1009626,1023054,947182.963,928449,1028868,990448,921967.208,945049.458,953114.14,870884.595,833330.579,744862.08,777628.883,758027.272,809568.993,857850.856,864860.29,834144.642,789102.817,771824.624,737130.393,753059.969,850461.496,902747.977,894364.475,822583.974,773026.638,749624.136,801688.032,781362.991,864158.986,862050.524,877549.956,837773.066,890611.352,913561.567,875882.101,872717.364,1005964.223,988531.432,998541.409
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,UN9:Unallocated currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:L:A:UN9:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57796.649,76580.419,78591.566,77223.637,113711.09,109233.55,115065.092,114665.844,270578.184,265101.911,263978.941,292711.873,285356.879,298329.992,358013.009,376719.969,401810.397,427208.585,403503.864,399983.854,389158.012,393057.158,384760.441,358662.112,385819.467,362959.008,361052.798,321518.173
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,I:Derivatives and Other instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:L:I:TO1:A:5J:A:5A:A:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300,8204,7548,7845,8006,8385,8448,9105,28270,29573,29692,32491,42381,22788,38647,43878,45538,70227,105112,106026,115598,117676,110142,113056,140683,134158,130875,135859,154230,155083,179316,181907,196781,235406,215159,215530,238167,268560,303909,280722,262451,262346,277622,295599,330082,379173,406358,435552,523849,581854,565410,558568,786860,714785,686586,719518,653165,646383,1012304,1247202,1051996,1039357,1083717,1360153,1297074,1302369,1469651.058,1545553.878,1679234.246,1571133.533,1443065.321,1479237.449,1524137.793,1585782.71,1644639.516,1749547.596,2006908.665,2071623.637,1776156.464,1810514.522,2065089.714,2274064.302,2293190.857,2260023.423,2138394.736,2161063.357,2147851.209,2082935.78,2118934.379,2193039.005,2109189.357,2013261.666,1991062.37,2138947.175,2290282.613,2451322.464,2290726.087,2881287.172,2760262.802,2728912.253
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:L:A:CHF:A:5J:A:5A:B:5J:N,21271,23343,25314,29160,26643,25583,30318,35681,38018,39657,48561,52824,54063,56551,57182,61622,68934,67784,61620,57427,58256,68241,68790,68742,68992,72493,68128,66478,61940,68459,68289,85715,96863,108097,116474,135671,143196,164385,158432,154094,193057,175411,148585,147512,147167,138441,141613,145397,152950,178025,188162,221460,213557,191201,175761,183120,201526,182726,201250,234699,184617,170982,156926,159791,152987,154935,167735,180607,172252,203989,205803,202473,190226,188086,179043,178536,163251,157918,160393,167873,175468,164171,167824,187610,173928,164640,159334,166941,151411,165991,162839,155583,162792,165717,160244,178059,198747,197225,214883,200085,204559,206240,199560,201959,191742,194437,192939,194453,199994,201119,210113,203103,202324,238470,236087,227178,246687,271690,258553,270065,287011,349637,361772,332044,284646,287241.5,284875,257562.5,247725,244301,213721,222667,237906,255019.136,267854,296768,320643,273238.688,257507.146,263558.362,250674.654,248669.997,215745.391,269433.789,290467.381,287897.319,264206.771,264890.02,251472.087,264094.193,245574.787,222998.671,241846.502,227630.185,242206.082,225913.687,212445.879,205874.562,232345.56,200193.094,209141.218,201764.463,182586.406,193743.923,191410.913,192482.05,192730.076,224017.398,273093.778,277940.137,244014.142,257469.957
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:A:CHF:A:5J:A:5A:U:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,1208,1404,1214,1731,1583,1653,1786,2217,2346,3268,3231,3679,3711,4238,4042,3850,4725,5306,4246,2976,3479,2692,2509,2168,1584,1519,2123,3694,2990,2360,2255,2301,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9767,9810,9830,10106,10577,11366,12207,13192,13617,13706,13282,14704,13415,13299,13760,13710,14824,14452,13921,14691,14602,15949,18953,24748,27335,30506,34112,36186,40475,40475,40284,42641,47526,42458,43308,41766,40040,41904,45417,44115,46346,47093,48050,60974,65935,72685,71828,66721,63051,59067,61767,62936,60948,57622,58604,62257,63377,61719,66251,59377,54038,55770,69039.68,67320.385,77866.944,68374.529,66160.241,68741.021,69698.701,87986.868,88017.137,79850.058,72716.662,69269.817,70643.517,64217.283,56501.047,51921.511,49635.894,48161.676,36961.416,38008.253,37959.222,34730.68,36109.051,37514.643,36851.217,39072.39,39515.693,43222.518,40462.464,88538.699,45466.926,45754.975,47338.854,48823.508
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,4Y:Developing Asia and Pacific,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:P:4Y:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52755.85,69312.176,72497.479,70630.093,232993.924,231750.36,239151.623,250920.7,310376.71,323439.359,329190.126,347073.308,347523.508,351471.93,357159.378,364922.638,393964.588,392018.099,382274.081,383387.072,381408.168,380633.193,386768.503,381208.49,391753.505,385999.92,399734.325,408221.002
